TestSFP 000000000457Pencee, A.F.T.                +32(0)2 8324653         A0000001234
TestSFP 000000000457Pencee, A.F.T.                +32(0)2 8324653         A0000002451
TestSFP 000000097454Snickers, P.F.                +31(0)20 734664653      A0003854347
TestSFP 000000005561Pencee, A.F.T.                +32(0)2 8324653         A0000063454
TestSFP 000000000457Pencee, A.F.T.                +32(0)2 8324653         R0000001234
TestSFP 080000023444Haribo, H.I.H.A.              +49(0)911 365 253       A0000001234
TestSFP 080000023444Haribo, H.I.H.A.              +49(0)911 365 253       A0000000027
TestSFP 080000023444Haribo, H.I.H.A.              +49(0)911 365 253       A0000034545
TestSFP 080000023444Haribo, H.I.H.A.              +49(0)911 365 253       A0000089933
TestSFP 080000023444Haribo, H.I.H.A.              +49(0)911 365 253       A0000000567
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000001234
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000000027
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0002340056
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000003454
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000003456
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000000345
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000003456
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000000127
TestSFP 000004500667Orio, C.K.                    +1(1)800 ORIO-4-U       A0000000456
TestSFP 000000000074Snickers, P.F.                +31(0)20 734664653      A0003854347
TestSFP 000000000074Snickers, P.F.                +31(0)20 734664653      A0000003500
TestSFP 000000000074Snickers, P.F.                +31(0)20 734664653      A0000030467
TestSFP 000000000074Snickers, P.F.                +31(0)20 734664653      A0000005663
